date,side,price,ticker,profile,pnl
2005-12-28,BUY,30.8333,,,
2006-01-02,SELL,30.0,,,-2702.597516321643
2006-01-05,BUY,32.1667,,,
2006-01-10,SELL,31.0,,,-3529.018502914735
2006-02-23,BUY,31.75,,,
2006-03-07,SELL,31.1667,,,-1722.680263810379
2006-09-05,BUY,31.3333,,,
2006-09-25,SELL,32.1667,,,2448.2224814401475
2006-09-29,BUY,33.25,,,
2006-10-05,SELL,32.8333,,,-1184.229144266779
2006-12-29,BUY,33.5,,,
2007-01-30,SELL,36.0833,,,7195.43105671419
2007-02-12,BUY,34.75,,,
2007-02-13,SELL,34.3333,,,-1205.1938671593446
2008-02-26,BUY,25.6667,,,
2008-03-13,SELL,24.7917,,,-3385.22063464416
2008-03-25,BUY,26.6667,,,
2008-04-07,SELL,26.4167,,,-899.1993160855794
2008-04-23,BUY,26.3333,,,
2008-05-20,SELL,29.3333,,,10824.565963204577
2008-06-27,BUY,26.4167,,,
2008-07-10,SELL,25.1667,,,-5008.199370859924
2008-12-15,BUY,20.9583,,,
2008-12-22,SELL,19.8333,,,-5412.455494766197
2009-08-11,BUY,19.7917,,,
2009-09-01,SELL,20.5,,,3414.844556259069
2009-09-14,BUY,21.4167,,,
2009-09-25,SELL,21.5417,,,576.8528178173412
2009-10-07,BUY,23.0833,,,
2009-10-28,SELL,24.0417,,,4127.469645050693
2009-11-06,BUY,24.9167,,,
2009-11-19,SELL,24.5417,,,-1558.2710452676906
2009-11-27,BUY,27.0,,,
2009-12-01,SELL,26.5,,,-1888.5244697109174
2010-01-07,BUY,27.9167,,,
2010-01-27,SELL,28.6667,,,2689.0301386270216
2010-02-03,BUY,29.4167,,,
2010-02-04,SELL,28.4167,,,-3493.9618323369264
2010-02-19,BUY,30.75,,,
2010-03-22,SELL,33.5,,,8879.313148054114
2010-04-30,BUY,30.5,,,
2010-05-05,SELL,28.3333,,,-7684.054381273039
2010-09-15,BUY,26.6667,,,
2010-09-22,SELL,25.9167,,,-2826.0562040227087
2010-09-24,BUY,26.9167,,,
2010-09-29,SELL,26.5,,,-1511.8228994321357
2010-10-05,BUY,27.5,,,
2010-10-07,SELL,26.9167,,,-2039.3068374306683
2010-10-19,BUY,27.6667,,,
2010-10-20,SELL,27.1667,,,-1700.689602064292
2010-11-04,BUY,26.5833,,,
2010-12-10,SELL,30.0833,,,12166.091850402321
2010-12-14,BUY,31.25,,,
2011-01-07,SELL,31.9167,,,2230.9454675672728
2011-02-01,BUY,29.0833,,,
2011-02-11,SELL,28.4167,,,-2447.9249973741116
2011-04-15,BUY,30.75,,,
2011-04-21,SELL,30.8333,,,282.6873154501326
2011-04-27,BUY,31.0833,,,
2011-05-19,SELL,32.6667,,,5330.216498876976
2011-05-27,BUY,31.75,,,
2011-06-03,SELL,31.0833,,,-2309.1183805343917
2011-11-28,BUY,29.5833,,,
2011-12-06,SELL,29.5,,,-303.1386044398872
2011-12-20,BUY,30.8333,,,
2012-01-11,SELL,31.8333,,,3481.755361078715
2012-01-31,BUY,33.5833,,,
2012-02-21,SELL,35.25,,,5500.6496111204915
2012-04-25,BUY,37.1667,,,
2012-05-16,SELL,38.1667,,,3130.124884559231
2012-09-04,BUY,40.5,,,
2012-09-24,SELL,41.3333,,,2458.060880041352
2012-10-08,BUY,43.25,,,
