date,side,price,ticker,profile,pnl
2021-06-17,SELL,285.5,,,-1292.3552091458312
2021-06-03,SELL,289.1,,,1013.2774283717799
2021-06-30,SELL,290.3,,,-580.567012920147
2021-07-06,SELL,295.1,,,370.93330179230816
2021-07-19,SELL,298.9,,,-1119.213962711005
2022-08-22,SELL,305.7,,,-2730.863374767077
2021-09-17,SELL,310.3,,,-2072.9432509305634
2021-07-30,SELL,313.9,,,1334.3452150165472
2022-12-08,SELL,318.2,,,-2324.035097115927
2021-08-25,SELL,325.0,,,1305.6451464890715
2022-11-30,SELL,327.3,,,4242.575779035006
2022-01-10,SELL,333.3,,,3155.6623933635024
2023-02-02,SELL,353.5,,,5276.169862316544
2023-03-10,SELL,359.0,,,-2521.7136024027964
2023-05-05,SELL,365.4,,,-4024.300681296916
2023-05-16,SELL,382.4,,,-208.8363610336031
2023-06-29,SELL,416.4,,,5089.45070064621
2023-08-01,SELL,416.8,,,-2357.375211888144
2023-07-03,SELL,419.0,,,-1261.630463336497
2024-01-03,SELL,435.6,,,4492.791113858607
2024-01-31,SELL,441.8,,,-1973.8137281032039
2024-02-05,SELL,453.0,,,344.8943620772021
2024-03-06,SELL,473.8,,,3663.8526705085746
2024-04-03,SELL,494.1,,,2159.110064353621
2024-05-31,SELL,575.6,,,16578.51245541017
2024-07-18,SELL,578.0,,,-6878.735361362614
2024-06-24,SELL,587.8,,,2279.562789038632
2024-10-15,SELL,597.2,,,-1173.085107460236
2024-10-21,SELL,598.0,,,-2685.9180543919656
2024-11-15,SELL,615.0,,,-1027.9618677279464
2025-01-20,SELL,617.0,,,2557.8935417804387
2025-01-27,SELL,619.0,,,-5513.458759229804
2025-08-06,SELL,625.4,,,11781.788156419534
2024-12-13,SELL,634.0,,,-1853.6930089164464
2025-09-16,SELL,654.6,,,1418.3253090334536
2025-09-26,SELL,669.0,,,-634.4119372311374
2025-10-08,SELL,693.8,,,906.1402311087351
2021-06-01,BUY,286.2,,,
2021-06-04,BUY,289.2,,,
2021-06-28,BUY,292.0,,,
2021-07-02,BUY,294.0,,,
2021-07-07,BUY,302.3,,,
2021-07-21,BUY,309.7,,,
2022-11-08,BUY,313.9,,,
2022-08-15,BUY,314.1,,,
2021-09-10,BUY,316.8,,,
2021-08-04,BUY,320.8,,,
2021-11-22,BUY,323.0,,,
2022-12-01,BUY,325.5,,,
2023-01-04,BUY,336.0,,,
