date,side,price,ticker,profile,pnl
2022-11-30,SELL,173.55,,,-388.4007325488459
2022-08-05,SELL,174.65,,,-3426.9998789452757
2022-12-15,SELL,180.35,,,-229.49487267617587
2023-01-19,SELL,182.1,,,-1677.0421510189517
2021-05-11,SELL,188.65,,,-2994.010467104779
2023-07-11,SELL,195.6,,,-2612.9331904323108
2021-04-20,SELL,197.05,,,-2561.9920390006905
2021-03-31,SELL,197.7,,,11129.848229342317
2023-09-13,SELL,199.4,,,-3245.563685165069
2021-08-17,SELL,205.7,,,2200.546660236196
2023-06-09,SELL,207.8,,,-1751.2130383715023
2021-08-23,SELL,210.0,,,-255.99618143342764
2023-10-12,SELL,210.6,,,2946.4440921973323
2023-05-10,SELL,212.8,,,13674.151150770957
2023-11-03,SELL,215.6,,,-714.8860896506467
2023-11-21,SELL,215.8,,,-2590.4107719105623
2024-01-05,SELL,223.0,,,-96.3279991346617
2024-01-11,SELL,226.6,,,-1495.6409961379213
2024-02-02,SELL,231.6,,,1672.2643900897233
2024-02-09,SELL,233.2,,,-4338.711752284927
2024-04-16,SELL,251.8,,,11279.480355881746
2025-09-02,SELL,263.0,,,-3654.1273250637755
2024-05-22,SELL,290.6,,,9843.1672412263
2024-06-03,SELL,291.4,,,-1267.3194117587855
2024-08-05,SELL,292.0,,,-5565.528323016916
2025-02-05,SELL,295.4,,,-10467.416655174835
2024-07-11,SELL,306.0,,,1961.7363962098857
2024-09-17,SELL,323.0,,,-3796.9087815193357
2024-10-18,SELL,337.2,,,2883.664792892148
2022-11-10,BUY,174.2,,,
2021-02-15,BUY,177.9,,,
2022-07-22,BUY,180.4,,,
2022-12-13,BUY,180.75,,,
2023-01-11,BUY,185.1,,,
2023-03-31,BUY,187.6,,,
2021-04-23,BUY,194.0,,,
2023-06-16,BUY,200.2,,,
2021-07-27,BUY,201.5,,,
2021-04-06,BUY,201.7,,,
2023-10-10,BUY,205.0,,,
2023-09-01,BUY,205.4,,,
2021-08-20,BUY,210.5,,,
2023-06-05,BUY,211.0,,,
2023-11-02,BUY,217.0,,,
2023-11-09,BUY,221.0,,,
2023-12-14,BUY,223.2,,,
2024-03-07,BUY,227.0,,,
2024-01-15,BUY,228.0,,,
2024-01-08,BUY,229.8,,,
2024-02-07,BUY,243.0,,,
2024-04-25,BUY,267.6,,,
2025-08-21,BUY,272.2,,,
2024-05-31,BUY,294.4,,,
2024-06-11,BUY,301.2,,,
2024-07-26,BUY,305.6,,,
2025-01-30,BUY,324.0,,,
2024-10-01,BUY,329.0,,,
2024-09-10,BUY,333.6,,,
